Bird	calltype	fund	cvfund	maxfund	minfund	F1	F2	F3	sal	rms	maxAmp	meanS	stdS	skewS	kurtS	entS	q1	q2	q3	meanT	stdT	skewT	kurtT	entT	preorpost	nameofsyl
bird6	a_pos					2427.99355769014	4283.138443031536	5381.2677227005415	0.4053046960189206	607.5279161884712	1167.5254120279544	3589.2745381975915	2403.796284068768	-0.5571429892736193	1.8562454089849776	0.6701015669886784	31.25	5156.25	5437.5	0.1435070727441699	0.0606522256877135	0.0583685217219795	3.2585271361315025	0.9478248379681896	pos	a
bird6	a_pos	808.1939479899969	0.2436549336003127	1133.6919758844988	386.6306904601673	2363.3260228456825	3942.237444384745	5290.37670492537	0.5615746827343439	904.5876061281704	1742.7764248466756	4405.647399163766	2032.1019520026252	-0.7293865234683071	3.0909783295793565	0.7298235562328934	3468.75	5156.25	6406.25	0.1351850355191877	0.04749918081298	0.0105273738947013	4.4879979680633815	0.90171143597295	pos	a
bird6	a_pos	1023.6119886801642	0.3000439048939924	1328.714607562502	471.4887932753192	2732.467918026842	4270.839246466973	5425.003154236969	0.4902845943655932	1040.1534704388364	2267.4718316991243	4497.8291103923775	1726.4687931097671	-1.588900317499579	4.688382831796825	0.6887724474400576	3593.75	5218.75	5593.75	0.1450964630871759	0.0517959415416574	0.0741948780916014	4.471407279223328	0.9029838660473712	pos	a
bird6	a_pos	844.9192698828991	0.3760951579470302	1340.4999433338733	485.0752919416973	2619.485161454016	4036.2435635713714	5241.498942756165	0.4905537234108151	837.3868038888176	1583.4432124840118	3876.1020746742006	2086.727283589891	-0.2152781990287867	3.5118056614755235	0.7281051299055653	3437.5	4156.25	5406.25	0.1394611834865469	0.050604614010243	-0.1001906834536679	4.106961053006754	0.9161890097298164	pos	a
bird6	a_pos	984.2069008341113	0.2250990258749372	1331.8117223995616	675.3059045122797	2449.704831815107	4126.477397590179	5280.199879196666	0.5017085707188002	822.7881178492726	1669.4002078035026	4296.372078141718	1909.8768145998397	-1.170230481588873	3.9663774401106298	0.7323578921980296	3906.25	5156.25	5406.25	0.1324277660920966	0.0470464659871906	-0.0209354784935965	4.410036445794029	0.9025166833005982	pos	a
bird6	a_pos	1043.9440927222677	0.193775870935788	1197.656906557917	383.1648466362373	2553.785694492992	3634.100118614256	4792.633247648626	0.7330081759751744	1310.610156794894	3290.0434860327064	3416.194361206756	804.3536082394176	-3.542328747549093	16.005514855837138	0.4483779657895609	3531.25	3562.5	3625.0	0.1319222703105952	0.0390156226565994	0.0035862915983925	6.288067480154319	0.8469000878149555	pos	a
bird6	a_pos	929.3371689323508	0.2841695002593908	1170.335214395076	390.34912969773205	2662.752022364274	4224.317834909797	5444.487314048907	0.3880443079864336	488.4961973902556	818.3128927393549	2651.405099516676	2476.9433626194304	0.2230184915445485	1.8146409062756244	0.6374727343545966	31.25	3500.0	5000.0	0.1471939391371909	0.065955604895377	-0.0096232295508624	2.851978926164841	0.9655112269623556	pos	a
bird6	a_pos	1065.4832474909192	0.000302603434476	1066.108304276543	1065.257444604984	2566.6259541975464	4063.53763008373	5304.003886458037	0.3757198721017047	646.2661311931188	1275.2152359581078	3535.5454234756667	2520.5370877658565	0.1097891287223112	2.616766965253917	0.7289733763716313	2468.75	4000.0	5625.0	0.1390841837615633	0.0546479509424975	-0.0873296443854424	3.6084422904421034	0.932020169184002	pos	a
bird6	a_pos	710.3037358744945	0.5087275896938421	1152.737899783206	306.3249374875091	2349.0135448725755	3982.9161172781487	5325.4357994332095	0.4710020151741613	505.2001321669	916.5491991746871	2781.2459360668954	2580.8341840829385	0.1995793811922871	1.6835515962321863	0.6544808918585756	0.0	3375.0	5343.75	0.1510633002733157	0.0690122025456881	0.0516752513947493	2.8106358265233515	0.9676972711342215	pos	a
bird6	a_pos	1156.5238583438495	0.2559895659553066	1340.1713133689582	326.14572341078554	2393.217333784241	4041.8559709610986	5373.205613447618	0.4643325999076996	643.4574730773857	1376.3593515822472	3672.086495607748	2288.5406801240124	-0.7282151932306019	1.9882056068840612	0.6396177039275722	1156.25	5218.75	5375.0	0.1449232991937855	0.058731848558015	-0.1022316043632106	3.4069631637837663	0.9382228248197853	pos	a
bird6	a_pos	602.6495542891125	0.4577778160852453	1113.9311989735988	428.7828311759249	2387.3081532608303	3950.251478489743	5199.4137245954125	0.3706974443188351	458.3623067850394	867.5975186728083	2470.056707648689	2502.6084798520046	0.3166136186519939	1.6463978445999146	0.6003088941390538	0.0	2781.25	5125.0	0.1482680801684959	0.0691868584166747	0.0900376106320666	2.744347105284437	0.9691668906119332	pos	a
bird6	a_pos	1324.231936987475	0.0007465659437825	1325.6788587142437	1322.9079325930368	2364.950033993748	4015.600399587112	5290.492683363603	0.38434613040298	477.90432728291705	864.9741884610229	2461.332082531295	2455.146160224424	0.1999353067492292	1.405394009344149	0.5960190912618574	0.0	3312.5	5031.25	0.1484384223220558	0.0684113859259942	0.0425117403681137	2.761872859059056	0.9694664638495594	pos	a
bird6	a_pos	504.2045168711177	0.0	504.2045168711177	504.2045168711177	2298.732584677896	4008.701521150824	5177.336437476152	0.373315144259903	462.5153174870055	850.2545227749229	2588.779330470358	2423.3269153662227	0.1523097657609942	1.5868554206130914	0.6308454390861832	0.0	3500.0	4812.5	0.1438464529574584	0.0640280035282769	-0.0199320860186692	2.898318234658392	0.9630754930827224	pos	a
